GeneID	GSM3518005	GSM3518006	GSM3518007	GSM3518008	GSM3518009	GSM3518010	GSM3518011	GSM3518012	GSM3518013
100287102	0.07933	0.2338	0.1581	0.1407	0.3567	0.3347	0.3744	0.2001	0.3735
653635	1.259	1.747	1.821	1.675	9.193	9.127	7.924	4.422	6.875
102466751	1.927	1.136	1.28	0.8542	5.199	6.505	4.547	1.62	5.184
107985730	0	0	0	0	0	0	0.1916	0.1024	0
100302278	0	0	0	0	0	0	0	0	0
645520	0	0	0	0	0	0.09787	0	0.04875	0.078
79501	0	0	0	0	0.1284	0	0	0	0
100996442	0.1741	0.2999	0.3379	0.368	1.035	1.401	1.643	0.6304	0.9905
729737	0.05986	0.127	0.1272	0.2441	1.055	0.7879	0.5649	0.9259	0.5152
102725121	0.1223	0.1442	0.1083	0.1084	0.44	0.4129	0.2566	0.1714	0.2742
102723897	1.34	1.886	2.125	1.748	9.57	10.3	8.838	4.943	7.908
102465909	1.927	1.136	1.28	0.8542	5.199	6.505	4.547	1.62	5.184
107985721	0	0.02854	0	0.0644	0.0871	0.1226	0.07618	0.06107	0.09771
112268260	0.03976	0.04686	0.09241	0.09692	0.1251	0.3523	0.3127	0.05849	0.2005
729759	0	0.08226	0.09269	0.1237	0	0.2356	0.3293	0.05867	0.09386
100132287	0.105	0.1414	0.1992	0.2526	1.294	0.9111	0.7784	0.895	0.7261
105378947	0	0	0	0.02479	0	0.0472	0.08798	0.04702	0.07523
101928626	0	0	0	0	0	0	0.1292	0	0
113219467	7620	1.001e+04	1.047e+04	1.169e+04	1.412e+04	1.732e+04	1.545e+04	6712	1.818e+04
81399	0.02267	0.02673	0.07529	0.07035	0.1427	0.2105	0.2853	0.03812	0.07624
100133331	0.1227	0.1446	0.2037	0.3806	1.517	1.061	0.9649	1.083	0.825
107984841	0.2123	0.3337	0.47	0.3764	2.545	1.672	1.892	1.368	0.9518
107984847	0.8107	0.9556	1.077	1.198	5.832	4.104	5.951	2.499	2.362
107984849	0.234	0.2759	0.3109	0.2075	1.263	1.185	2.577	0.5902	0.6295
100288069	0.2868	0.5634	0.6349	0.8474	3.352	3.146	3.007	2.531	2.057
105378580	0.4974	0.6314	0.7115	0.7801	2.087	2.002	3.792	1.019	2.041
400728	0.2697	0.1987	0.5373	0.3287	1.94	1.365	2.121	0.6518	1.088
79854	0.3483	0.7625	1.19	0.6616	2.327	2.855	2.426	0.7948	1.74
643837	3.243	3.48	8.154	5.788	18.39	17.72	16.92	3.777	20.25
107984850	0.05341	0.06295	0.2483	0.04734	0.5763	0.3605	0.42	0.06735	0.3232
284593	0.03841	0.04528	0.102	0.1021	0.2072	0.5186	0.6646	0.2583	0.4133
284600	0	0	0	0	0	0.05733	0.2404	0.1285	0
100130417	0.08702	0	0	0.1543	0.1565	0.3672	0.5475	0.4755	0.117
107985728	0.03595	0.06356	0.04775	0.03186	0.4525	0.6673	0.8764	0.6044	0.1209
148398	0.5894	0.3927	0.3744	0.5907	3.134	3.763	3.789	2.628	1.586
26155	5.205	4.875	6.346	5.225	27.74	29.44	20.64	8.412	22.22
339451	0.3	0.2593	0.4781	0.1595	1.115	1.687	1.007	0.6556	0.9413
84069	1.325	0.8679	1.326	0.9573	3.472	4.694	2.368	0.784	4.533
84808	13.47	6.56	12.76	8.549	40.39	69.93	35.13	11.03	51.35
57801	1.809	0.5632	0.816	0.9984	13.87	12.21	9.126	6.657	9.089
9636	4.218	10.31	3.826	3.465	9.25	17.53	17.96	9.772	10.1
375790	0.7096	0.7128	0.589	1.108	4.408	5.593	4.883	3.925	5.379
100288175	0	0	0	0	0	0	0	0.1131	0.09049
112267874	0.02424	0	0	0.02149	0	0	0	0	0
105378948	0	0.02645	0.02981	0.01989	0	0	0	0.03773	0.03018
401934	0	0	0	0	0	0.05821	0	0	0
54991	0.2694	0.2223	0.2505	0.3822	2.762	2.637	1.611	1.019	1.848
254099	0	0	0	0	0	0	0	0	0
406984	0	0	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0	0	0
554210	0	0	0	0	0	0	0	0	0
100506376	0	0	0	0.01391	0	0.1324	0	0	0.02111
254173	0	0.03596	0	0	0.05486	0.103	0.09597	0.02565	0.04103
8784	0	0	0	0.04728	0	0.04501	0	0.02242	0
7293	0.08925	0.06312	0.1897	0.4272	0.321	0.8134	0.8985	0.2701	4.514
51150	5.474	3.777	5.817	5.309	31.18	34.26	26.08	15.25	26.48
126792	1.262	1.68	1.055	1.45	6.722	6.348	6.467	2.376	5.467
388581	0.05006	0	0	0.08875	0.1801	0.2535	0.5512	0.1263	0.2693
